"Timestamp","What is your gender ?","What is your marital status","Who do you stay with ?","What is your highest education level","What kind of movies do you watch ?","What is your age range","What is your country of origin?","What is your town/city/province of origin?","Where are you currently staying?","State the languages that you can speak fluently","What is your religion","What is your mood today ?","What is the current situation around you ?","Do you have mental stress ?","Are you currently studying ?","Are you expecting any upcoming event in the next two weeks ?","What is your emotional state today ?","Which location best describes where you stay ?  ","State your area of expertise(e.g art or engineering)","What is your income range per month in US$","State the model of the device that you are using to answer these questions(e.g mobile: Nokia 5, laptop: dell latitude 3340)","Sports [Sports]","Technology [Technology]","News [News]","Music [Music]","Hobbies [Hobbies]","Food [Food Types]"
"2019/02/12 11:08:15 AM GMT+2","Male","Married","Immediate Family;Extended family","Tertiary","Documentaries;Religious","31-35","Zimbabwe","Goromonzi","Chinhoyi","English,shona","Christianity","good","peaceful;hopeful","No","Yes","Yes","Joyful","Medium Density","IT","1001-10 000","Nokia 5","Atheletics;Soccer","Information Technology;Agriculture;Artificial Intelligence","hard news;feature news;Lifestyle/entertainment;Crime News","Gospel/religious","reading;singing;watching TV","legumes;Edible plants;Dairy products;Seafood"
"2019/02/12 11:29:16 AM GMT+2","Male","Single","Alone","Professional","Documentaries;Religious;Sci-fi;comedy;Romance;Action","31-35","Zimbabwe","Harare","Harare","English, Ndebele, Shona","Christianity","depressed","peaceful","Yes","Yes","No","fearful","Medium Density","information technology","101-1 000","laptop:thinkpad p51s","Others","Information Technology;Sensors;Transport;Appliances;Clothing & Accessories;Science;Robotics;Artificial Intelligence","feature news;Lifestyle/entertainment;Profiles;Investigative News;Tech News;Crime News;Business News","Gospel/religious;pop;rock;jazz;Rnb;Dance Hall;Reggae;House;Electronic","reading;e-gaming;watching TV","Baked goods;Breads;Dairy products;Eggs;Meat;Cereals"
"2019/02/12 11:32:16 AM GMT+2","Female","Single","Sibling(s)","Professional","Sci-fi;comedy;Romance;Action","21-25","zimbabwe","harare","prospect waterfalls","english,shonja","Christianity","depressed","hopeful","Yes","Yes","No","fearful","Medium Density","data","101-1 000","hp","Atheletics","Information Technology;Entertainment & Media","hard news;Lifestyle/entertainment","Gospel/religious;pop;rock;Rnb;Dance Hall;Reggae","Cooking;Mountain climbing;reading;fishing;e-gaming;sporting;Dance Hall;singing;watching TV","legumes;Edible plants;Baked goods;Breads;Dairy products;Eggs;Meat;Cereals"
"2019/02/12 11:33:26 AM GMT+2","Male","Single","Self","Tertiary","Sci-fi;comedy;Romance;Action","31-35","Zimbabwe","Chipinge","Harare","English, Shona","Christianity","depressed","chaotic","No","Yes","Yes","fearful","Low Density","Information Technology","101-1 000","Laptop:HP EliteBook 830 G5","Soccer;Rugby;Tennis;Cricket","Information Technology","sport news;feature news;Investigative News;Tech News","sungura;jazz;Rnb;Dance Hall;Reggae;House","sporting;watching TV","Meat"
"2019/02/12 11:34:44 AM GMT+2","Male","Married","Immediate Family","Professional","Religious","31-35","Zimbabwe","Harare","Budiriro CABS","English","Christianity","good","deceptive","No","Yes","No","Joyful","High Density","System development","1001-10 000","iPhone 6","Soccer","Information Technology","sport news","Gospel/religious","Mountain climbing","Meat"
"2019/02/12 11:35:33 AM GMT+2","Female","Single","Immediate Family","Tertiary","I not into movies","21-25","Zimbabwe","Harare","Chitungwiza","English, Shona","Christianity","good","hopeful","No","Yes","Yes","Joyful","High Density","IT","101-1 000","laptop:HP probook 8th Gen, intel corei7","Atheletics","Information Technology;Sensors;Transport;Energy;Agriculture;Architecture;Entertainment & Media;Clothing & Accessories;Medical Technology;Science;Robotics;Artificial Intelligence","Lifestyle/entertainment;Investigative News;Tech News;Crime News;Business News","Gospel/religious;Dance Hall;Reggae;House;Electronic","Cooking;singing","Dairy products;Eggs;Meat"
"2019/02/12 11:36:12 AM GMT+2","Male","Single","Extended family","Tertiary","Sci-fi;comedy;Action","21-25","Zimbabwe","Kadoma","Harare","English and Shona","Christianity","good","peaceful;good","No","Yes","No","Joyful","Medium Density","Information Technology","101-1 000","Laptop:HP Probook G5","Soccer;Cricket","Information Technology;Entertainment & Media;Medical Technology;Artificial Intelligence","sport news;Tech News;Business News","Gospel/religious;Dance Hall;Reggae;House;Electronic","e-gaming","Meat"
"2019/02/12 11:36:51 AM GMT+2","Male","Married","Immediate Family","Tertiary","Action","41-45","Zimbabwe","Karoi","Chitungwiza","English, Shona","Christianity","good","good","No","No","No","Joyful","High Density","Computer Science","1001-10 000","HP core 15","Atheletics;Soccer","Information Technology;Sensors","hard news;sport news","sungura;Reggae","reading;watching TV","Edible plants;Meat;Cereals"
"2019/02/12 11:52:49 AM GMT+2","Male","Married","Immediate Family","Tertiary","Documentaries;Religious;Action","36-40","zimbabwe","harare","harare","shona,english,chichewa","Christianity","frustrated","threatening","Yes","No","No","fearful","High Density","commerce","101-1 000","sumsung j1","Atheletics","Information Technology","hard news","Gospel/religious","reading","Edible nuts and seeds"
"2019/02/12 11:54:21 AM GMT+2","Male","Single","ALONE","Tertiary","EPIC","21-25","ZIMBABWE","MASVINGO","HARARE","SHONA AND ENGLISH","Christianity","good","good","No","Yes","No","Joyful","Low Density","COMPUTER SCIENCE","101-1 000","DELL LATTITUDE 6440","Soccer;Tennis;Swimming","Information Technology;Artificial Intelligence","sport news;Tech News","Gospel/religious;sungura;Country;House","Mountain climbing;e-gaming;sporting;watching TV","Edible plants;Edible nuts and seeds;Eggs;Meat"
"2019/02/12 11:54:55 AM GMT+2","Female","Married","Husband and child","Tertiary","comedy;Action","26-30","Zimbabwe","Manicaland","Harare","English and Shona","Christianity","good","peaceful","No","Yes","No","Joyful","High Density","Busineds","101-1 000","Mobile phone, Samsung S8","Others","Information Technology","hard news","Gospel/religious;Rnb;Reggae;House","Cooking;watching TV","Baked goods;Meat;Cereals"
"2019/02/12 11:56:28 AM GMT+2","Male","Married","Immediate Family","Tertiary","Action","26-30","zimbabwe","harare","Budiriro","shona, english","Christianity","good","good","No","Yes","No","Joyful","High Density","IT","1001-10 000","laptop","Soccer","Information Technology;Artificial Intelligence","sport news","Gospel/religious;sungura;jazz;Reggae","reading;sporting;watching TV","Dairy products;Eggs;Meat"
"2019/02/12 11:58:14 AM GMT+2","Male","Single","Friend(s)","Tertiary","Documentaries;comedy","26-30","Zimbabwe","Bulawayo ","Harare","Ndebele, English, Shona","Christianity","good","hopeful","No","Yes","Yes","Joyful","Medium Density","programming","1001-10 000","desktop hp 280 MT","Soccer","Information Technology","sport news","pop;Rnb;House","reading;e-gaming;sporting","Eggs;Meat"
"2019/02/12 11:59:44 AM GMT+2","Male","Married","Immediate Family","Professional","Documentaries;Sci-fi;Romance;Action","26-30","Zimbabwe","Harare","Ruwa, Zimbabwe","Shona, English","Christianity","good","threatening","No","Yes","No","Joyful","High Density","Information Technology","1-100","laptop: hp probook 3450","Soccer;Cricket","Information Technology;Sensors;Agriculture;Medical Technology;Artificial Intelligence","hard news;sport news;Profiles;Investigative News;Tech News;Business News","Gospel/religious;Dance Hall;Reggae","reading","legumes;Dairy products;Meat"
"2019/02/12 12:02:23 PM GMT+2","Male","Married","Immediate Family","Professional","Documentaries","31-35","Zimbabwe","Mashonaland East","Harare","Shona","Christianity","good","peaceful","No","Yes","Yes","Joyful","Medium Density","Information Technology Engineering","1001-10 000","Dell Inspiron 15","Atheletics;Soccer","Information Technology;Transport","sport news;Investigative News;Tech News;Crime News","Gospel/religious;jazz;Reggae;Country","reading;sporting","Edible plants;Edible nuts and seeds;Meat"
"2019/02/12 12:06:24 PM GMT+2","Female","Single","Immediate Family","Tertiary","Sci-fi;comedy;Romance;Action","36-40","Zimbabwe","norton","Norton","English, shona","Christianity","good","chaotic","Yes","Yes","Yes","fearful;sorrowful","Low Density","ICT","1-100","Huawei g8","Swimming","Information Technology;Entertainment & Media;Artificial Intelligence","Lifestyle/entertainment;Tech News","Gospel/religious;Rnb;Dance Hall;Reggae","Cooking;Mountain climbing;reading","legumes;Edible plants;Edible nuts and seeds;Baked goods;Dairy products;Eggs;Meat;Cereals"
